Date,Open,High,Low,Close,Volume,Currency
2020-07-16,9.1987,9.224200000000002,9.052,9.135299999999999,429042,USD
2020-07-17,9.135399999999999,9.181899999999999,9.0915,9.1558,310920,USD
2020-07-18,9.1558,9.198799999999999,9.126700000000001,9.170200000000001,276397,USD
2020-07-19,9.1701,9.2248,9.106399999999999,9.208,265248,USD
2020-07-20,9.2081,9.218399999999999,9.139899999999999,9.1624,312983,USD
2020-07-21,9.1623,9.4269,9.155100000000001,9.3873,458993,USD
2020-07-22,9.3874,9.523100000000001,9.296,9.5137,385995,USD
2020-07-23,9.5136,9.6465,9.4511,9.5996,425655,USD
2020-07-24,9.599200000000002,9.6262,9.4805,9.5464,359159,USD
2020-07-25,9.546700000000001,9.729299999999999,9.536200000000001,9.7041,306287,USD
2020-07-26,9.69,10.0866,9.6459,9.9325,415068,USD
2020-07-27,9.9327,11.367,9.8946,11.0228,908992,USD
2020-07-28,10.9611,11.046100000000001,10.8736,10.9085,658373,USD
2020-07-29,10.9084,11.3365,10.771799999999999,11.1059,576833,USD
2020-07-30,11.105799999999999,11.164399999999999,10.861600000000001,11.096200000000001,501138,USD
2020-07-31,11.0965,11.4348,10.9646,11.3334,530950,USD
2020-08-01,11.333200000000001,11.847700000000001,11.2261,11.8031,611474,USD
2020-08-02,11.8026,12.0611,10.7307,11.066799999999999,647952,USD
2020-08-03,11.0669,11.4611,10.9816,11.2244,470238,USD
2020-08-04,11.223799999999999,11.4078,11.043,11.184700000000001,485790,USD
2020-08-05,11.1848,11.7715,11.1145,11.735100000000001,570828,USD
2020-08-06,11.735,11.898399999999999,11.563,11.757100000000001,554851,USD
2020-08-07,11.757100000000001,11.9018,11.3524,11.592,516995,USD
2020-08-08,11.5916,11.8055,11.5335,11.764299999999999,317064,USD
2020-08-09,11.7644,11.7928,11.5275,11.6812,303003,USD
2020-08-10,11.6811,12.0411,11.546899999999999,11.8892,564113,USD
2020-08-11,11.8892,11.931799999999999,11.146700000000001,11.3904,615895,USD
2020-08-12,11.3904,11.6054,11.1906,11.5572,549586,USD
2020-08-13,11.5572,11.7729,11.298399999999999,11.7709,545666,USD
2020-08-14,11.7711,11.8355,11.6515,11.7508,435438,USD
2020-08-15,11.751100000000001,11.964,11.7115,11.8453,499099,USD
2020-08-16,11.8455,11.9225,11.6889,11.899,410805,USD
2020-08-17,11.8988,12.4441,11.764,12.2826,628413,USD
2020-08-18,12.283,12.3814,11.842,11.9476,606787,USD
2020-08-19,11.9444,12.013200000000001,11.6026,11.750200000000001,550257,USD
2020-08-20,11.751,11.881,11.6727,11.8569,430932,USD
2020-08-21,11.8569,11.8774,11.4956,11.529200000000001,506384,USD
2020-08-22,11.529200000000001,11.677,11.382100000000001,11.661299999999999,433978,USD
2020-08-23,11.661100000000001,11.7054,11.5208,11.6416,377330,USD
2020-08-24,11.6416,11.8246,11.5871,11.7535,429125,USD
2020-08-25,11.7529,11.7669,11.131,11.3248,594072,USD
2020-08-26,11.3249,11.5336,11.2546,11.462299999999999,513063,USD
2020-08-27,11.462299999999999,11.5803,11.135299999999999,11.327399999999999,560586,USD
2020-08-28,11.3275,11.539,11.2819,11.5274,464939,USD
2020-08-29,11.5278,11.576799999999999,11.4335,11.4681,389854,USD
2020-08-30,11.4681,11.7042,11.4626,11.702,409360,USD
2020-08-31,11.7011,11.760200000000001,11.563799999999999,11.644200000000001,496139,USD
2020-09-01,11.644200000000001,12.0459,11.5446,11.9149,580689,USD
2020-09-02,11.914399999999999,11.9475,11.2449,11.4133,20255896,USD
2020-09-03,11.413200000000002,11.4427,10.0095,10.1688,9654931,USD
2020-09-04,10.168700000000001,10.6142,9.9603,10.4725,12502713,USD
2020-09-05,10.472299999999999,10.5587,9.8978,10.0922,14716589,USD
2020-09-06,10.0922,10.3377,10.004700000000001,10.2964,12124769,USD
2020-09-07,10.2964,10.4009,9.887,10.3769,12396297,USD
2020-09-08,10.3769,10.4344,9.8771,10.1266,113900,USD
2020-09-09,10.1268,10.3433,9.9846,10.2246,71365,USD
2020-09-10,10.2243,10.4803,10.2192,10.3397,88014,USD
2020-09-11,10.339799999999999,10.3988,10.2126,10.3902,62280,USD
2020-09-12,10.3902,10.476799999999999,10.2759,10.4419,48487,USD
2020-09-13,10.4417,10.579600000000001,10.2194,10.326,66123,USD
