Date,Open,High,Low,Close,Volume,Currency
2020-06-01,0.2318,0.24981,0.23085,0.24797,11970598,USD
2020-06-02,0.24800999999999998,0.25321,0.22794999999999999,0.23793999999999998,12686011,USD
2020-06-03,0.2379,0.24475999999999998,0.23384,0.24452000000000002,8151002,USD
2020-06-04,0.24453,0.24641,0.23668,0.24337,8749785,USD
2020-06-05,0.24337,0.2475,0.2397,0.24023,7754761,USD
2020-06-06,0.24027,0.24443,0.23838,0.242,6616781,USD
2020-06-07,0.242,0.24494,0.23544,0.24456,8097671,USD
2020-06-08,0.24456,0.24711000000000002,0.24130000000000001,0.24618,6551518,USD
2020-06-09,0.24619,0.24944999999999998,0.24018,0.24381999999999998,6860348,USD
2020-06-10,0.24381999999999998,0.24950999999999998,0.24254,0.24778,7627971,USD
2020-06-11,0.24778999999999998,0.24977000000000002,0.22701,0.23071,12403084,USD
2020-06-12,0.23072,0.23923,0.22862000000000002,0.23754,7339022,USD
2020-06-13,0.23755,0.23861000000000002,0.23486,0.23822,5266780,USD
2020-06-14,0.23823,0.23848,0.23052,0.23202,5778825,USD
2020-06-15,0.23199,0.23334,0.21906,0.23093,10177071,USD
2020-06-16,0.23092,0.23595,0.22899,0.23536,7028361,USD
2020-06-17,0.23537,0.23655,0.22863,0.23388,5942560,USD
2020-06-18,0.23385,0.23469,0.22813,0.23134,4959991,USD
2020-06-19,0.23134,0.23194,0.22697,0.22911,5559812,USD
2020-06-20,0.22911,0.23096,0.22628,0.22886,4538446,USD
2020-06-21,0.22887000000000002,0.23118,0.22738,0.22813,4102533,USD
2020-06-22,0.22811,0.24639,0.22769,0.24325,7929329,USD
2020-06-23,0.24324,0.24477000000000002,0.24094,0.2432,5163349,USD
2020-06-24,0.2432,0.24922999999999998,0.23156000000000002,0.23475,9127950,USD
2020-06-25,0.23475,0.23529,0.22799,0.23256,6475813,USD
2020-06-26,0.23257,0.2335,0.22816,0.22966999999999999,6958435,USD
2020-06-27,0.22972,0.2313,0.21711000000000003,0.22106,7213219,USD
2020-06-28,0.22107,0.22774,0.21846000000000002,0.22509,5910456,USD
2020-06-29,0.22509,0.22983,0.2216,0.22787000000000002,6801789,USD
2020-06-30,0.22788,0.22857,0.22322999999999998,0.22563,5600729,USD
2020-07-01,0.22561,0.23247,0.22433,0.23095,6309611,USD
